,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
1338,HC-MC-260a.2c,Percentage of enrollees receiving Initial Preventive Physical Examination (IPEE) or Annual Wellness Visits (AWV)
1339,HC-MC-260a.3a,Number of customers receiving care from Accountable Care Organizations or enrolled in Patient-Centered Medical Home programs
1340,HC-MC-450a.1a,"Discussion of the strategy to address the effects of climate change on business operations and how specific risks presented by changes in the geographic incidence, morbidity, and mortality of illnesses and diseases are incorporated into risk models"
1341,HC-MS-000.Aa,Number of units sold by product category
1342,HC-MS-240a.1a,Ratio of weighted average rate of net price increases (for all products) to the annual increase in the U.S. Consumer Price Index
1343,HC-MS-240a.2a,Description of how price information for each product is disclosed to customers or to their agents
1344,HC-MS-250a.1a,Number of recalls issued
1345,HC-MS-250a.1b,Total units recalled
1346,HC-MS-250a.2a,List of products listed in the FDA’s MedWatch Safety Alerts for Human Medical Products database
1347,HC-MS-250a.3a,Number of fatalities related to products as reported in the FDA Manufacturer and User Facility Device Experience database
1348,HC-MS-250a.4a,"Number of FDA enforcement actions taken in response to violations of current Good Manufacturing Practices (cGMP), by type"
1349,HC-MS-270a.1a,Total amount of monetary losses as a result of legal proceedings associated with false marketing claims
1350,HC-MS-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1351,HC-MS-270a.2a,Description of code of ethics governing promotion of off-label use of products
1352,HC-MS-410a.1a,"Discussion of process to assess and manage environmental and human health considerations associated with chemicals in products, and meet demand for sustainable products"
1353,HC-MS-410a.1b,"Percentage of products, by revenue, for which the entity has integrated the aforementioned environmental considerations into the design"
1354,HC-MS-410a.2a,"Total amount of devices and equipment accepted for take-back and reused, recycled, or donated"
1355,HC-MS-410a.2b,"Total amount of supplies accepted for take-back and reused, recycled, or donated"
1356,HC-MS-430a.1a,Percentage of entity's facilities participating in third-party audit programs for manufacturing and product quality
1357,HC-MS-430a.1b,Percentage of Tier I suppliers' facilities participating in third-party audit programs for manufacturing and product quality
1358,HC-MS-430a.2a,Description of efforts to maintain traceability within the distribution chain
1359,HC-MS-430a.3a,Description of the management of risks associated with the use of critical materials
1360,HC-MS-510a.1a,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption
1361,HC-MS-510a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1362,HC-MS-510a.2a,Description of code of ethics governing interactions with health care professionals
1363,IF-EN-000.Aa,Number of active projects
1364,IF-EN-000.Ba,Number of commissioned projects
1365,IF-EN-000.Ca,Total backlog
1366,IF-EN-160a.1a,Number of incidents of non-compliance with environmental permits
1367,IF-EN-160a.1b,Number of incidents of non-compliance with environmental standards
1368,IF-EN-160a.1c,Number of incidents of non-compliance with environmental regulations
1369,IF-EN-160a.2a,"Discussion of processes to assess and manage environmental risks associated with project design, siting, and construction"
1370,IF-EN-250a.1a,Amount of defect-related rework expenses
1371,IF-EN-250a.1b,Amount of safety-related rework expenses
1372,IF-EN-250a.2a,Total amount of monetary losses as a result of legal proceedings associated with defect-related incidents
1373,IF-EN-250a.2b,Total amount of monetary losses as a result of legal proceedings associated with safety-related incidents
1374,IF-EN-250a.2c,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1375,IF-EN-320a.1a,Total recordable incident rate (TRIR) for direct employees
1376,IF-EN-320a.1b,Total recordable incident rate (TRIR) for contract employees
1377,IF-EN-320a.1c,Fatality rate for direct employees
1378,IF-EN-320a.1d,Fatality rate for contract employees
1379,IF-EN-410a.1a,Number of commissioned projects certified to a third-party multi-attribute sustainability standard
1380,IF-EN-410a.1b,Number of active projects seeking such certification
1381,IF-EN-410a.2a,Description of process to incorporate operational-phase energy and water efficiency considerations into project planning and design
1382,IF-EN-410b.1a,Backlog for hydrocarbon-related projects
1383,IF-EN-410b.1b,Backlog for renewable energy projects
1384,IF-EN-410b.2a,Amount of backlog cancellations associated with hydrocarbon-related projects
1385,IF-EN-410b.3a,Amount of backlog for non-energy projects associated with climate change mitigation
1386,IF-EN-510a.1a,Number of active projects in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
1387,IF-EN-510a.1b,Backlog in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
1388,IF-EN-510a.1c,The entity shall provide a brief description of its approach to managing ethical risks specific to the countries referenced above where the entity has active projects and/or backlog
1389,IF-EN-510a.2a,Total amount of monetary losses as a result of legal proceedings associated with charges of bribery or corruption
1390,IF-EN-510a.2b,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive practices
1391,IF-EN-510a.2c,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1392,IF-EN-510a.3a,Description of policies and practices for prevention of bribery and corruption
1393,IF-EN-510a.3b,Description of policies and practices for prevention of anti-competitive behavior in the project bidding processes
1394,IF-EU-000.Aa,Number of residential customers served
1395,IF-EU-000.Ab,Number of commercial customers served
1396,IF-EU-000.Ac,Number of industrial customers served
1397,IF-EU-000.Ba,Total electricity delivered to residential customers
1398,IF-EU-000.Bb,Total electricity delivered to commercial customers
1399,IF-EU-000.Bc,Total electricity delivered to industrial customers
1400,IF-EU-000.Bd,Total electricity delivered to all other retail customers
1401,IF-EU-000.Be,Total electricity delivered to wholesale customers
1402,IF-EU-000.Ca,Length of transmission and distribution lines
1403,IF-EU-000.Da,Total electricity generated
1404,IF-EU-000.Db,Percentage of total electricity generated by major energy source
1405,IF-EU-000.Dc,Percentage of total electricity generated in regulated markets
1406,IF-EU-000.Ea,Total wholesale electricity purchased
1407,IF-EU-110a.1a,Gross global Scope 1 emissions
1408,IF-EU-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
1409,IF-EU-110a.1c,Percentage of gross global Scope 1 emissions covered under emissions-reporting regulations
1410,IF-EU-110a.2a,Greenhouse gas (GHG) emissions associated with power deliveries
1411,IF-EU-110a.3a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
1412,IF-EU-110a.4a,Number of customers served in markets subject to renewable portfolio standards (RPS)
1413,IF-EU-110a.4b,Percentage fulfillment of renewable portfolio standards (RPS) target by market
1414,IF-EU-110a.4c,"The entity shall discuss its operations in markets with RPS regulations or where regulations are emerging, including whether it is meeting its regulatory obligations, whether regulations require future increases or changes to the entity’s renewable energy portfolio, and strategies to maintain compliance with emerging regulations."
1415,IF-EU-120a.1a,Air emissions from NO (excluding N O)
1416,IF-EU-120a.1b,Air emissions from SO
1417,IF-EU-120a.1c,Air emissions from particulate matter (PM )
1418,IF-EU-120a.1d,Air emissions from lead (Pb)
1419,IF-EU-120a.1e,Air emissions from mercury (Hg)
1420,IF-EU-120a.1f,Percentage of NO (excluding N O) emissions in or near areas of dense population
1421,IF-EU-120a.1g,Percentage of SO emissions in or near areas of dense population
1422,IF-EU-120a.1h,Percentage of particulate matter (PM ) emissions in or near areas of dense population
1423,IF-EU-120a.1i,Percentage of lead (Pb) emissions in or near areas of dense population
1424,IF-EU-120a.1j,Percentage of mercury (Hg) emissions in or near areas of dense population
1425,IF-EU-140a.1a,Total water withdrawn
1426,IF-EU-140a.1b,Total water consumed
1427,IF-EU-140a.1c,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress
1428,IF-EU-140a.1d,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress
1429,IF-EU-140a.2a,"Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations"
1430,IF-EU-140a.3a,Description of water management risks and discussion of strategies and practices to mitigate those risks
1431,IF-EU-150a.1a,Amount of coal combustion residuals (CCR) generated
1432,IF-EU-150a.1b,Percentage of coal combustion residuals (CCR) generated that were recycled
1433,IF-EU-150a.2a,Total number of coal combustion residual (CCR) impoundments
1434,IF-EU-150a.2b,Number of less than low hazard potential coal combustion residual (CCR) impoundments that are satisfactory
1435,IF-EU-150a.2c,Number of less than low hazard potential coal combustion residual (CCR) impoundments that are Fair
1436,IF-EU-150a.2d,Number of less than low hazard potential coal combustion residual (CCR) impoundments that are poor
1437,IF-EU-150a.2e,Number of less than low hazard potential coal combustion residual (CCR) impoundments that are unsatisfactory
1438,IF-EU-150a.2f,Number of low hazard potential coal combustion residual (CCR) impoundments that are satisfactory
1439,IF-EU-150a.2g,Number of low hazard potential coal combustion residual (CCR) impoundments that are Fair
1440,IF-EU-150a.2h,Number of low hazard potential coal combustion residual (CCR) impoundments that are poor
1441,IF-EU-150a.2i,Number of low hazard potential coal combustion residual (CCR) impoundments that are unsatisfactory
1442,IF-EU-150a.2j,Number of significant hazard potential coal combustion residual (CCR) impoundments that are satisfactory
1443,IF-EU-150a.2k,Number of significant hazard potential coal combustion residual (CCR) impoundments that are Fair
1444,IF-EU-150a.2l,Number of significant hazard potential coal combustion residual (CCR) impoundments that are poor
1445,IF-EU-150a.2m,Number of significant hazard potential coal combustion residual (CCR) impoundments that are unsatisfactory
1446,IF-EU-150a.2n,Number of high hazard potential coal combustion residual (CCR) impoundments that are satisfactory
1447,IF-EU-150a.2o,Number of high hazard potential coal combustion residual (CCR) impoundments that are Fair
1448,IF-EU-150a.2p,Number of high hazard potential coal combustion residual (CCR) impoundments that are poor
1449,IF-EU-150a.2q,Number of high hazard potential coal combustion residual (CCR) impoundments that are unsatisfactory
1450,IF-EU-240a.1a,Average retail electric rate for residential customers
1451,IF-EU-240a.1b,Average retail electric rate for commercial customers
1452,IF-EU-240a.1c,Average retail electric rate for industrial customers
1453,IF-EU-240a.2a,Typical monthly electric bill for residential customers for 500 kWh of electricity delivered per month
1454,IF-EU-240a.2b,"Typical monthly electric bill for residential customers for 1,000 kWh of electricity delivered per month"
1455,IF-EU-240a.3a,Number of residential customer electric disconnections for non payment
1456,IF-EU-240a.3b,Percentage of residential customer electric disconnections for non payment that were reconnected within 30 days
1457,IF-EU-240a.4a,"Discussion of impact of external factors on customer affordability of electricity, including the economic conditions of the service territory"
1458,IF-EU-320a.1a,Total recordable incident rate (TRIR)
1459,IF-EU-320a.1b,Fatality rate
1460,IF-EU-320a.1c,Near miss frequency rate (NMFR)
1461,IF-EU-420a.1a,Percentage of electric utility revenues from rate structures that are decoupled
1462,IF-EU-420a.1b,Percentage of electric utility revenues from rate structures that contain a lost revenue adjustment mechanism (LRAM)
1463,IF-EU-420a.2a,Percentage of electric load served by smart grid technology
1464,IF-EU-420a.2b,The entity shall discuss the opportunities and challenges associated with the development and operations of a smart grid
1465,IF-EU-420a.3a,Customer electricity savings from efficiency measures by market
1466,IF-EU-420a.3b,The entity shall discuss customer efficiency regulations relevant to each market in which it operates
1467,IF-EU-540a.1a,"Total number of nuclear power units, broken down by Licensee Response Column"
1468,IF-EU-540a.1b,"Total number of nuclear power units, broken down by Regulatory Response Column"
1469,IF-EU-540a.1c,"Total number of nuclear power units, broken down by Degraded Cornerstone Column"
1470,IF-EU-540a.1d,"Total number of nuclear power units, broken down by Multiple/Repetitive Degraded Cornerstone Column"
1471,IF-EU-540a.1e,"Total number of nuclear power units, broken down by Unacceptable Performance Column"
1472,IF-EU-540a.2a,Discussion of efforts to manage nuclear safety and emergency preparedness
1473,IF-EU-550a.1a,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations
1474,IF-EU-550a.2a,System Average Interruption Duration Index (SAIDI)
1475,IF-EU-550a.2b,System Average Interruption Frequency Index (SAIFI)
1476,IF-EU-550a.2c,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days"
1477,IF-EU-550a.2d,The entity shall discuss notable service disruptions such as those that affected a significant number of customers or disruptions of extended duration
1478,IF-GU-000.Aa,Number of residential customers served
1479,IF-GU-000.Ab,Number of commercial customers served
1480,IF-GU-000.Ac,Number of industrial customers served
1481,IF-GU-000.Ba,Amount of natural gas delivered
1482,IF-GU-000.Bb,Percentage of natural gas delivered to residential customers
1483,IF-GU-000.Bc,Percentage of natural gas delivered to commercial customers
1484,IF-GU-000.Bd,Percentage of natural gas delivered to industrial customers
1485,IF-GU-000.Be,Percentage of natural gas transferred to a third party
1486,IF-GU-000.Ca,Length of gas transmission pipelines
1487,IF-GU-000.Cb,Length of gas distribution pipelines
1488,IF-GU-240a.1a,Average retail gas rate for residential customers
1489,IF-GU-240a.1b,Average retail gas rate for commercial customers
1490,IF-GU-240a.1c,Average retail gas rate for industrial customers
1491,IF-GU-240a.1d,Average retail gas rate for transportation services
1492,IF-GU-240a.2a,Typical monthly gas bill for residential customers for 50 MMBtu delivered per year
1493,IF-GU-240a.2b,Typical monthly gas bill for residential customers for 100 MMBtu of gas delivered per year
1494,IF-GU-240a.3a,Number of residential customer gas disconnections for non-payment
1495,IF-GU-240a.3b,Percentage of residential customer gas disconnections for non-payment that were reconnected within 30 days
1496,IF-GU-240a.3c,"The entity shall discuss how policies, programs, and regulations impact the number and duration of residential customer disconnections"
1497,IF-GU-240a.4a,"Discussion of impact of external factors on customer affordability of gas, including the economic conditions of the service territory"
1498,IF-GU-420a.1a,Percentage of gas utility revenues from rate structures that are decoupled
1499,IF-GU-420a.1b,Percentage of gas utility revenues from rate structures that contain a LRAM
1500,IF-GU-420a.2a,Customer gas savings from efficiency measures by market
1501,IF-GU-420a.2b,The entity shall discuss customer efficiency measures that are required by regulations for each of its relevant markets
1502,IF-GU-540a.1a,Number of reportable pipeline incidents
1503,IF-GU-540a.1b,Corrective Action Orders (CAO)
1504,IF-GU-540a.1c,Notices of Probable Violation (NOPV)
1505,IF-GU-540a.1d,"The entity shall discuss notable incidents such as those that affected a significant number of customers, created extended disruptions to service, or resulted in serious injury or death"
1506,IF-GU-540a.2a,Percentage of distribution pipeline that is cast and/or wrought iron
1507,IF-GU-540a.2b,Percentage of distribution pipeline that is unprotected steel
1508,IF-GU-540a.3a,Percentage of gas transmission pipelines inspected
1509,IF-GU-540a.3b,Percentage of gas distribution pipelines inspected
1510,IF-GU-540a.4a,"Description of efforts to manage the integrity of gas delivery infrastructure, including risks related to safety and emissions"
1511,IF-HB-000.Aa,Number of controlled lots
1512,IF-HB-000.Ba,Number of homes delivered
1513,IF-HB-000.Ca,Number of active selling communities
1514,IF-HB-160a.1a,Number of lots delivered on redevelopment sites
1515,IF-HB-160a.1b,Number of homes delivered on redevelopment sites
1516,IF-HB-160a.2a,Number of lots delivered in regions with High or Extremely High Baseline Water Stress
1517,IF-HB-160a.2b,Number of homes delivered in regions with High or Extremely High Baseline Water Stress
1518,IF-HB-160a.3a,Total amount of monetary losses as a result of legal proceedings associated with environmental regulations
1519,IF-HB-160a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
1520,IF-HB-160a.4a,"Discussion of process to integrate environmental considerations into site selection, site design, and site development and construction"
1521,IF-HB-320a.1a,Total recordable injury rate (TRIR) for direct employees
1522,IF-HB-320a.1b,Total recordable injury rate (TRIR) for contract employees
1523,IF-HB-320a.1c,Fatality rate for direct employees
1524,IF-HB-320a.1d,Fatality rate for contract employees
1525,IF-HB-410a.1a,Number of homes that obtained a certified HERS® Index Score
1526,IF-HB-410a.1b,Average score
1527,IF-HB-410a.2a,Percentage of installed water fixtures certified to WaterSense® specifications
1528,IF-HB-410a.3a,Number of homes delivered certified to a third-party multi-attribute green building standard
1529,IF-HB-410a.4a,"Description of risks and opportunities related to incorporating resource efficiency into home design, and how benefits are communicated to customers"
1530,IF-HB-410b.1a,"Discussion of how proximity and access to infrastructure, services, and economic centers affect site selection and development decisions"
1531,IF-HB-410b.2a,Number of lots delivered on infill sites
1532,IF-HB-410b.2b,Number of homes delivered on infill sites
1533,IF-HB-410b.3a,Number of homes delivered in compact developments
1534,IF-HB-410b.3b,Average density of homes in compact developments
1535,IF-HB-420a.1a,Number of lots located in 100-year flood zones
1536,IF-HB-420a.2a,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks"
1537,IF-RE-000.Aa,"Number of assets, by property subsector"
1538,IF-RE-000.Ba,"Leasable floor area, by property subsector"
1539,IF-RE-000.Ca,"Percentage of indirectly managed assets, by property subsector"
1540,IF-RE-000.Da,"Average occupancy rate, by property subsector"
1541,IF-RE-130a.1a,"Energy consumption data coverage as a percentage of total floor area, by property subsector"
1542,IF-RE-130a.2a,"Total energy consumed by portfolio area with data coverage, by property subsector"
1543,IF-RE-130a.2b,"Percentage grid electricity of total energy consumed, by property subsector"
1544,IF-RE-130a.2c,"Percentage renewable of total energy consumed, by property subsector"
1545,IF-RE-130a.3a,"Like-for-like percentage change in energy consumption of portfolio area with data coverage, by property subsector"
1546,IF-RE-130a.4a,"Percentage of eligible portfolio that has an energy rating, by property subsector"
1547,IF-RE-130a.4b,"Percentage of eligible portfolio that is certified to ENERGY STAR®, by property subsector"
1548,IF-RE-130a.5a,Description of how building energy management considerations are integrated into property investment analysis and operational strategy
1549,IF-RE-140a.1a,"Water withdrawal data coverage as a percentage of total floor area, by property subsector"
1550,IF-RE-140a.1b,"Water withdrawal data coverage as a percentage of floor area in regions with High or Extremely High Baseline Water Stress, by property subsector"
1551,IF-RE-140a.2a,"Total water withdrawn by portfolio area with data coverage, by property subsector"
1552,IF-RE-140a.2b,"Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress, by property subsector"
1553,IF-RE-140a.3a,"Like-for-like percentage change in water withdrawn for portfolio area with data coverage, by property subsector"
1554,IF-RE-140a.4a,Description of water management risks and discussion of strategies and practices to mitigate those risks
1555,IF-RE-410a.1a,"Percentage of new leases that contain a cost recovery clause for resource efficiency-related capital improvements, by property subsector"
1556,IF-RE-410a.1b,"Leased floor area of leases that contain a cost recovery clause for resource efficiency, by property subsector"
1557,IF-RE-410a.2a,"Percentage of tenants that are separately metered or submetered for grid electricity consumption, by property subsector"
1558,IF-RE-410a.2b,"Percentage of tenants that are separately metered or submetered for water withdrawals, by property subsector"
1559,IF-RE-410a.3a,"Description of approach to measuring, incentivizing, and improving sustainability impacts of tenants"
1560,IF-RE-450a.1a,"Area of properties located in 100-year flood zones, by property subsector"
1561,IF-RE-450a.2a,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks"
1562,IF-RS-000.Aa,Number of property management clients: tenants
1563,IF-RS-000.Ab,Number of property management clients: real estate owners
1564,IF-RS-000.Ba,Floor area under management with owner operational control
1565,IF-RS-000.Ca,Number of buildings under management with owner operational control
1566,IF-RS-000.Da,Number of leases transacted: tenants
1567,IF-RS-000.Db,Number of leases transacted: real estate owners
1568,IF-RS-000.Ea,Number of appraisals provided
1569,IF-RS-410a.1a,Revenue from energy and sustainability services
1570,IF-RS-410a.1b,The entity shall provide a description of the energy and sustainability services it offers.
1571,IF-RS-410a.2a,Floor area of buildings under management provided with energy and sustainability services
1572,IF-RS-410a.2b,Number of buildings under management provided with energy and sustainability services
1573,IF-RS-410a.3a,Floor area of buildings under management that obtained an energy rating
1574,IF-RS-410a.3b,Number of buildings under management that obtained an energy rating
1575,IF-RS-510a.1a,Brokerage revenue from dual agency transactions
1576,IF-RS-510a.1b,The entity shall describe its approach to managing potential conflicts of interest in dual agency transactions.
1577,IF-RS-510a.2a,Revenue from transactions associated with appraisal services
1578,IF-RS-510a.2b,The entity shall describe its approach to managing potential conflicts of interest in appraisals.
1579,IF-RS-510a.3a,Total amount of monetary losses as a result of legal proceedings associated with professional integrity or duty of care
1580,IF-RS-510a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses."
1581,IF-WM-000.Aa,Number of municipal customers
1582,IF-WM-000.Ab,Number of commercial customers
1583,IF-WM-000.Ac,Number of industrial customers
1584,IF-WM-000.Ad,Number of residential customers
1585,IF-WM-000.Ae,Number of other customers
1586,IF-WM-000.Ba,Vehicle fleet size
1587,IF-WM-000.Ca,Number of landfills
1588,IF-WM-000.Cb,Number of transfer stations
1589,IF-WM-000.Cc,Number of recycling centers
1590,IF-WM-000.Cd,Number of composting centers
1591,IF-WM-000.Ce,Number of incinerators
1592,IF-WM-000.Cf,Number of all other facilities
1593,IF-WM-000.Da,Amount of materials managed by customer category: municipal
1594,IF-WM-000.Db,Amount of materials managed by customer category: commercial
1595,IF-WM-000.Dc,Amount of materials managed by customer category: industrial
1596,IF-WM-000.Dd,Amount of materials managed by customer category: residential
1597,IF-WM-000.De,Amount of materials managed by customer category: other
1598,IF-WM-110a.1a,Gross global Scope 1 emissions
1599,IF-WM-110a.1b,Percentage of gross global Scope 1 emissions covered under emissions-limiting regulations
1600,IF-WM-110a.1c,Percentage of gross global Scope 1 emissions covered under emissions-reporting regulations
1601,IF-WM-110a.2a,Total landfill gas generated
1602,IF-WM-110a.2b,Percentage flared of total landfill gas generated
1603,IF-WM-110a.2c,Percentage used for energy of total landfill gas generated
1604,IF-WM-110a.3a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 and lifecycle emissions, emissions reduction targets, and an analysis of performance against those targets"
1605,IF-WM-110b.1a,Fleet fuel consumed
1606,IF-WM-110b.1b,Percentage of fleet fuel that is natural gas
1607,IF-WM-110b.1c,Percentage of fleet fuel that is renewable
1608,IF-WM-110b.2a,Percentage of alternative fuel vehicles in fleet
1609,IF-WM-120a.1a,Air emissions of NO (excluding N O)
1610,IF-WM-120a.1b,Air emissions of SO
1611,IF-WM-120a.1c,Air emissions of volatile organic compounds (VOCs)
1612,IF-WM-120a.1d,Air emissions of hazardous air pollutants (HAPs)
1613,IF-WM-120a.2a,Number of facilities in or near areas of dense population
1614,IF-WM-120a.3a,Number of incidents of non-compliance associated with air emissions
1615,IF-WM-150a.1a,Total Toxic Release Inventory (TRI) releases
1616,IF-WM-150a.1b,Percentage of Total Toxic Release Inventory (TRI) released to water
1617,IF-WM-150a.2a,Number of corrective actions implemented for landfill releases
1618,IF-WM-150a.3a,Number of incidents of non-compliance associated with environmental impacts
1619,IF-WM-310a.1a,Percentage of active workforce covered under collective bargaining agreements
1620,IF-WM-310a.2a,Number of work stoppages
1621,IF-WM-310a.2b,Number of days idle
1622,IF-WM-310a.2c,"Disclosure shall include a description of the reason for each work stoppage, impact on operations, and any corrective actions taken"
1623,IF-WM-320a.1a,Total recordable incident rate (TRIR) for direct employees
1624,IF-WM-320a.1b,Total recordable incident rate (TRIR) for contract employees
1625,IF-WM-320a.1c,Fatality rate for direct employees
1626,IF-WM-320a.1d,Fatality rate for contract employees
1627,IF-WM-320a.1e,Near miss frequency rate (NMFR) for direct employees
1628,IF-WM-320a.1f,Near miss frequency rate (NMFR) for contract employees
1629,IF-WM-320a.2a,Safety Measurement System BASIC percentiles for Unsafe Driving
1630,IF-WM-320a.2b,Safety Measurement System BASIC percentiles for Hours-of-Service Compliance
1631,IF-WM-320a.2c,Safety Measurement System BASIC percentiles for Driver Fitness
1632,IF-WM-320a.2d,Safety Measurement System BASIC percentiles for Controlled Substances/Alcohol
1633,IF-WM-320a.2e,Safety Measurement System BASIC percentiles for Vehicle Maintenance
1634,IF-WM-320a.2f,Safety Measurement System BASIC percentiles for Hazardous Materials Compliance
1635,IF-WM-320a.3a,Number of road accidents and incidents
1636,IF-WM-420a.1a,Amount of waste incinerated
1637,IF-WM-420a.1b,Percentage hazardous of waste incinerated
1638,IF-WM-420a.1c,Percentage used for energy recovery of waste incinerated
1639,IF-WM-420a.2a,Percentage of municipal customers receiving recycling services
1640,IF-WM-420a.2b,Percentage of commercial customers receiving recycling services
1641,IF-WM-420a.2c,Percentage of industrial customers receiving recycling services
1642,IF-WM-420a.2d,Percentage of residential customers receiving recycling services
1643,IF-WM-420a.2e,Percentage of all other customers receiving recycling services
1644,IF-WM-420a.2f,Percentage of municipal customers receiving composting services
1645,IF-WM-420a.2g,Percentage of commercial customers receiving composting services
1646,IF-WM-420a.2h,Percentage of industrial customers receiving composting services
1647,IF-WM-420a.2i,Percentage of residential customers receiving composting services
1648,IF-WM-420a.2j,Percentage of all other customers receiving composting services
1649,IF-WM-420a.3a,Amount of material recycled
1650,IF-WM-420a.3b,Amount of material composted
1651,IF-WM-420a.3c,Amount of material processed as waste-to-energy
1652,IF-WM-420a.4a,Amount of electronic waste collected
1653,IF-WM-420a.4b,Percentage of electronic waste recovered through recycling
1654,IF-WU-000.Aa,Number of residential customers served
1655,IF-WU-000.Ab,Number of commercial customers served
1656,IF-WU-000.Ac,Number of industrial customers served
1657,IF-WU-000.Ba,Percentage of sourced water that is groundwater
1658,IF-WU-000.Bb,Percentage of sourced water that is surface water
1659,IF-WU-000.Bc,Percentage of sourced water that is ocean water
1660,IF-WU-000.Bd,Percentage of sourced water that is recycled water
1661,IF-WU-000.Be,Percentage of sourced water that is purchased from third parties
1662,IF-WU-000.Bf,Percentage of sourced water that is from other sources
1663,IF-WU-000.Ca,Total water delivered to residential customers
1664,IF-WU-000.Cb,Total water delivered to commercial customers
1665,IF-WU-000.Cc,Total water delivered to industrial customers
1666,IF-WU-000.Cd,Total water delivered to all other customers
1667,IF-WU-000.Da,Average volume of sanitary sewer treated per day
1668,IF-WU-000.Db,Average volume of stormwater treated per day
1669,IF-WU-000.Dc,Average volume of combined sewer treated per day
1670,IF-WU-000.Ea,Length water mains
1671,IF-WU-000.Eb,Length of sewer pipe
1672,IF-WU-130a.1a,Total energy consumed
1673,IF-WU-130a.1b,Percentage grid electricity of total energy consumed
1674,IF-WU-130a.1c,Percentage renewable of total energy consumed
1675,IF-WU-140a.1a,Water main replacement rate
1676,IF-WU-140a.1b,The entity shall discuss the use of and challenges associated with planned and corrective maintenance in its distribution system.
1677,IF-WU-140a.2a,Volume of non-revenue real water losses
1678,IF-WU-140b.1a,Number of incidents of non-compliance associated with water effluent quality permits
1679,IF-WU-140b.1b,Number of incidents of non-compliance associated with water effluent quality standards
1680,IF-WU-140b.1c,Number of incidents of non-compliance associated with water effluent quality regulations
1681,IF-WU-140b.2a,Discussion of strategies to manage effluents of emerging concern
1682,IF-WU-240a.1a,Average retail water rate for residential customers
1683,IF-WU-240a.1b,Average retail water rate for commercial customers
1684,IF-WU-240a.1c,Average retail water rate for industrial customers
1685,IF-WU-240a.2a,Typical monthly water bill for residential customers
1686,IF-WU-240a.3a,Number of residential customer water disconnections for non-payment
1687,IF-WU-240a.3b,Percentage of residential customer water disconnections for non-payment reconnected within 30 days
1688,IF-WU-240a.3c,"The entity shall discuss how policies, programs, and regulations impact the number and duration of residential customer disconnections"
1689,IF-WU-240a.4a,"Discussion of impact of external factors on customer affordability of water, including the economic conditions of the service territory"
1690,IF-WU-250a.1a,Number of acute health-based drinking water violations
1691,IF-WU-250a.1b,Number of non-acute health based drinking water violations
1692,IF-WU-250a.1c,Number of non-health-based drinking water violations
1693,IF-WU-250a.1d,"The entity shall discuss notable violations such as U.S. Environmental Protection Agency (EPA) Tier 1 events, those that affected a significant number of customers, or those of extended duration."
1694,IF-WU-250a.2a,Discussion of strategies to manage drinking water contaminants of emerging concern
1695,IF-WU-420a.1a,Percentage of water utility revenues from rate structures that are designed to promote conservation and revenue resilience
1696,IF-WU-420a.2a,"Customer water savings from efficiency measures, by market"
1697,IF-WU-420a.2b,The entity shall discuss customer efficiency measures that are required by regulations for each of its relevant markets.
1698,IF-WU-440a.1a,Total fresh water sourced from regions with High or Extremely High Baseline Water Stress
1699,IF-WU-440a.1b,Percentage of total fresh water sourced from regions with High or Extremely High Baseline Water Stress purchased from a third party
1700,IF-WU-440a.2a,Volume of recycled water delivered
1701,IF-WU-440a.3a,Discussion of strategies to manage risks associated with the quality and availability of water resources
1702,IF-WU-450a.1a,Wastewater treatment capacity located in 100-year flood zones
1703,IF-WU-450a.2a,Number of sanitary sewer overflows (SSO)
1704,IF-WU-450a.2b,Volume of sanitary sewer overflows (SSO)
1705,IF-WU-450a.2c,Percentage recovered of sanitary sewer overflows (SSO)
1706,IF-WU-450a.3a,Number of service disruptions under 4 hours
1707,IF-WU-450a.3b,Number of service disruptions under between 4 and 12 hours
1708,IF-WU-450a.3c,Number of service disruptions of 12 hours or more
