,Accounting Metric Code,Accounting Metric or Activity Metric
545,IF-GU-240a.4,"Discussion of impact of external factors on customer affordability of gas, including the economic conditions of the service territory"
546,IF-GU-420a.1,Percentage of gas utility revenues from rate structures that (1) are decoupled or (2) contain a lost revenue adjustment mechanism (LRAM)
547,IF-GU-420a.2,Customer gas savings from efficiency measures by market
548,IF-GU-540a.1,"Number of (1) reportable pipeline incidents, (2) Corrective Action Orders (CAO), and (3) Notices of Probable Violation (NOPV)"
549,IF-GU-540a.2,Percentage of distribution pipeline that is (1) cast and/or wrought iron and (2) unprotected steel
550,IF-GU-540a.3,Percentage of gas (1) transmission and (2) distribution pipelines inspected
551,IF-GU-540a.4,"Description of efforts to manage the integrity of gas delivery infrastructure, including risks related to safety and emissions"
552,IF-HB-160a.1,Number of (1) lots and (2) homes delivered on redevelopment sites
553,IF-HB-160a.2,Number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress
554,IF-HB-160a.3,Total amount of monetary losses as a result of legal proceedings associated with environmental regulations
555,IF-HB-160a.4,"Discussion of process to integrate environmental considerations into site selection, site design, and site development and construction"
556,IF-HB-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
557,IF-HB-410a.1,(1) Number of homes that obtained a certified HERS® Index Score and (2) average score
558,IF-HB-410a.2,Percentage of installed water fixtures certified to WaterSense® specifications
559,IF-HB-410a.3,Number of homes delivered certified to a third-party multi-attribute green building standard
560,IF-HB-410a.4,"Description of risks and opportunities related to incorporating resource efficiency into home design, and how benefits are communicated to customers"
561,IF-HB-410b.1,"Description of how proximity and access to infrastructure, services, and economic centers affect site selection and development decisions"
562,IF-HB-410b.2,Number of (1) lots and (2) homes delivered on infill sites
563,IF-HB-410b.3,(1) Number of homes delivered in compact developments and (2) average density
564,IF-HB-420a.1,Number of lots located in 100-year flood zones
565,IF-HB-420a.2,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks"
566,IF-RE-130a.1,"Energy consumption data coverage as a percentage of total floor area, by property subsector"
567,IF-RE-130a.2,"(1) Total energy consumed by portfolio area with data coverage, (2) percentage grid electricity, and (3) percentage renewable, by property subsector"
568,IF-RE-130a.3,"Like-for-like percentage change in energy consumption for the portfolio area with data coverage, by property subsector"
569,IF-RE-130a.4,"Percentage of eligible portfolio that (1) has an energy rating and (2) is certified to ENERGY STAR, by property subsector"
570,IF-RE-130a.5,Description of how building energy management considerations are integrated into property investment analysis and operational strategy
571,IF-RE-140a.1,"Water withdrawal data coverage as a percentage of (1) total floor area and (2) floor area in regions with High or Extremely High Baseline Water Stress, by property subsector"
572,IF-RE-140a.2,"(1) Total water withdrawn by portfolio area with data coverage and (2) percentage in regions with High or Extremely High Baseline Water Stress, by property subsector"
573,IF-RE-140a.3,"Like-for-like percentage change in water withdrawn for portfolio area with data coverage, by property subsector"
574,IF-RE-140a.4,Description of water management risks and discussion of strategies and practices to mitigate those risks
575,IF-RE-410a.1,"(1) Percentage of new leases that contain a cost recovery clause for resource efficiency-related capital improvements and (2) associated leased floor area, by property subsector"
576,IF-RE-410a.2,"Percentage of tenants that are separately metered or submetered for (1) grid electricity consumption and (2) water withdrawals, by property subsector"
577,IF-RE-410a.3,"Discussion of approach to measuring, incentivizing, and improving sustainability impacts of tenants"
578,IF-RE-450a.1,"Area of properties located in 100-year flood zones, by property subsector"
579,IF-RE-450a.2,"Description of climate change risk exposure analysis, degree of systematic portfolio exposure, and strategies for mitigating risks"
580,IF-RS-410a.1,Revenue from energy and sustainability services
581,IF-RS-410a.2,(1) Floor area and (2) number of buildings under management provided with energy and sustainability services
582,IF-RS-410a.3,(1) Floor area and (2) number of buildings under management that obtained an energy rating
583,IF-RS-510a.1,Brokerage revenue from dual agency transactions
584,IF-RS-510a.2,Revenue from transactions associated with appraisal services
585,IF-RS-510a.3,"Total amount of monetary losses as a result of legal proceedings associated with professional integrity, including duty of care"
586,IF-WM-110a.1,"(1) Gross global Scope 1 emissions, percentage covered under (2) emissions-limiting regulations, and (3) emissions-reporting regulations"
587,IF-WM-110a.2,"(1) Total landfill gas generated, (2) percentage flared, (3) percentage used for energy"
588,IF-WM-110a.3,"Discussion of long-term and short-term strategy or plan to manage Scope 1 and lifecycle emissions, emissions reduction targets, and an analysis of performance against those targets"
589,IF-WM-110b.1,"(1) Fleet fuel consumed, (2) percentage natural gas, (3) percentage renewable"
590,IF-WM-110b.2,Percentage of alternative fuel vehicles in fleet
591,IF-WM-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) hazardous air pollutants (HAPs)"
592,IF-WM-120a.2,Number of facilities in or near areas of dense population
593,IF-WM-120a.3,Number of incidents of non-compliance associated with air emissions
594,IF-WM-150a.1,"(1) Total Toxic Release Inventory (TRI) releases, (2) percentage released to water"
595,IF-WM-150a.2,Number of corrective actions implemented for landfill releases
596,IF-WM-150a.3,Number of incidents of non-compliance associated with environmental impacts
597,IF-WM-310a.1,Percentage of active workforce covered under collective bargaining agreements
598,IF-WM-310a.2,(1) Number of work stoppages and (2) total days idle
599,IF-WM-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR) for (a) direct employees and (b) contract employees"
600,IF-WM-320a.2,"Safety Measurement System BASIC percentiles for: (1) Unsafe Driving, (2) Hours-of-Service Compliance, (3) Driver Fitness, (4) Controlled Substances/Alcohol, (5) Vehicle Maintenance, and (6) Hazardous Materials Compliance"
601,IF-WM-320a.3,Number of road accidents and incidents
602,IF-WM-420a.1,"(1) Amount of waste incinerated, (2) percentage hazardous, (3) percentage used for energy recovery"
603,IF-WM-420a.2,"Percentage of customers receiving (1) recycling and (2) composting services, by customer type"
604,IF-WM-420a.3,"Amount of material (1) recycled, (2) composted, and (3) processed as waste-to-energy"
605,IF-WM-420a.4,"Amount of electronic waste collected, percentage recovered through recycling"
606,IF-WU-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
607,IF-WU-140a.1,Water main replacement rate
608,IF-WU-140a.2,Volume of non-revenue real water losses
609,IF-WU-140b.1,"Number of incidents of non-compliance associated with water effluent quality permits, standards, and regulations"
610,IF-WU-140b.2,Discussion of strategies to manage effluents of emerging concern
611,IF-WU-240a.1,"Average retail water rate for (1) residential, (2) commercial, and (3) industrial customers"
612,IF-WU-240a.2,Typical monthly water bill for residential customers for 10 Ccf of water delivered per month
613,IF-WU-240a.3,"Number of residential customer water disconnections for non-payment, percentage reconnected within 30 days"
614,IF-WU-240a.4,"Discussion of impact of external factors on customer affordability of water, including the economic conditions of the service territory"
615,IF-WU-250a.1,"Number of (1) acute health-based, (2) non-acute health-based, and (3) non-health-based drinking water violations"
616,IF-WU-250a.2,Discussion of strategies to manage drinking water contaminants of emerging concern
617,IF-WU-420a.1,Percentage of water utility revenues from rate structures that are designed to promote conservation and revenue resilience
618,IF-WU-420a.2,"Customer water savings from efficiency measures, by market"
619,IF-WU-440a.1,"Total water sourced from regions with High or Extremely High Baseline Water Stress, percentage purchased from a third party"
620,IF-WU-440a.2,Volume of recycled water delivered to customers
621,IF-WU-440a.3,Discussion of strategies to manage risks associated with the quality and availability of water resources
622,IF-WU-450a.1,Wastewater treatment capacity located in 100-year flood zones
623,IF-WU-450a.2,"(1) Number and (2) volume of sanitary sewer overflows (SSO), (3) percentage of volume recovered"
624,IF-WU-450a.3,"(1) Number of unplanned service disruptions, and (2) customers affected, each by duration category"
625,IF-WU-450a.4,Description of efforts to identify and manage risks and opportunities related to the impact of climate change on distribution and wastewater infrastructure
626,RR-BI-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), (4) particulate matter (PM10), and (5) hazardous air pollutants (HAPs)"
627,RR-BI-120a.2,"Number of incidents of non-compliance associated with air quality permits, standards, and regulations"
628,RR-BI-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
629,RR-BI-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
630,RR-BI-140a.3,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
631,RR-BI-410a.1,"Lifecycle greenhouse gas (GHG) emissions, by biofuel type"
632,RR-BI-430a.1,Discussion of strategy to manage risks associated with environmental impacts of feedstock production
633,RR-BI-430a.2,Percentage of biofuel production third-party certified to an environmental sustainability standard
634,RR-BI-530a.1,Amount of subsidies received through government programs
635,RR-BI-530a.2,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
636,RR-BI-540a.1,"Process Safety Incidents Count (PSIC), Process Safety Total Incident Rate (PSTIR), and Process Safety Incident Severity Rate (PSISR)"
637,RR-FC-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
638,RR-FC-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate
639,RR-FC-320a.2,"Description of efforts to assess, monitor, and reduce exposure of workforce to human health hazards"
640,RR-FC-410a.1,"Average storage capacity of batteries, by product application and technology type"
641,RR-FC-410a.2,"Average energy efficiency of fuel cells as (1) electrical efficiency and (2) thermal efficiency, by product application and technology type"
642,RR-FC-410a.3,"Average battery efficiency as coulombic efficiency, by product application and technology type"
643,RR-FC-410a.4,"Average operating lifetime of fuel cells, by product application and technology type"
644,RR-FC-410a.5,"Average operating lifetime of batteries, by product application and technology type"
645,RR-FC-410b.1,Percentage of products sold that are recyclable or reusable
646,RR-FC-410b.2,"Weight of end-of-life material recovered, percentage recycled"
647,RR-FC-410b.3,"Description of approach to manage use, reclamation, and disposal of hazardous materials"
648,RR-FC-440a.1,Description of the management of risks associated with the use of critical materials
649,RR-FM-160a.1,"Area of forestland certified to a third-party forest management standard, percentage certified to each standard"
650,RR-FM-160a.2,Area of forestland with protected conservation status
651,RR-FM-160a.3,Area of forestland in endangered species habitat
652,RR-FM-160a.4,Description of approach to optimizing opportunities from ecosystem services provided by forestlands
653,RR-FM-210a.1,Area of forestland in indigenous land
654,RR-FM-210a.2,"Description of engagement processes and due diligence practices with respect to human rights, indigenous rights, and the local community"
655,RR-FM-450a.1,Description of strategy to manage opportunities for and risks to forest management and timber production presented by climate change
656,RR-PP-110a.1,Gross global Scope 1 emissions
657,RR-PP-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
658,RR-PP-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SO2, (3) volatile organic compounds (VOCs), (4) particulate matter (PM), and (5) hazardous air pollutants (HAPs)"
659,RR-PP-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage from biomass, (4) percentage from other renewable energy, (5) total self-generated energy"
660,RR-PP-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
661,RR-PP-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
662,RR-PP-430a.1,Percentage of wood fiber sourced from (1) third-party certified forestlands and percentage to each standard and (2) meeting other fiber sourcing standards and percentage to each standard
663,RR-PP-430a.2,Amount of recycled and recovered fiber procured
664,RR-ST-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
665,RR-ST-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
666,RR-ST-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
667,RR-ST-150a.1,"Amount of hazardous waste generated, percentage recycled"
668,RR-ST-150a.2,"Number and aggregate quantity of reportable spills, quantity recovered"
669,RR-ST-160a.1,Number and duration of project delays related to ecological impacts
670,RR-ST-160a.2,Description of efforts in solar energy system project development to address community and ecological impacts
671,RR-ST-410a.1,Description of risks associated with integration of solar energy into existing energy infrastructure and discussion of efforts to manage those risks
672,RR-ST-410a.2,Description of risks and opportunities associated with energy policy and its impact on the integration of solar energy into existing energy infrastructure
673,RR-ST-410b.1,Percentage of products sold that are recyclable or reusable
674,RR-ST-410b.2,"Weight of end-of-life material recovered, percentage recycled"
675,RR-ST-410b.3,"Percentage of products by revenue that contain IEC 62474 declarable substances, arsenic compounds, antimony compounds, or beryllium compounds"
676,RR-ST-410b.4,Description of approach and strategies to design products for high-value recycling
677,RR-ST-440a.1,Description of the management of risks associated with the use of critical materials
678,RR-ST-440a.2,Description of the management of environmental risks associated with the polysilicon supply chain
679,RR-WT-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
680,RR-WT-410a.1,"Average A-weighted sound power level of wind turbines, by wind turbine class"
681,RR-WT-410a.2,Backlog cancellations associated with community or ecological impacts
682,RR-WT-410a.3,Description of efforts to address ecological and community impacts of wind energy production through turbine design
683,RR-WT-440a.1,Description of the management of risks associated with the use of critical materials
684,RR-WT-440b.1,"Top five materials consumed, by weight"
685,RR-WT-440b.2,"Average top head mass per turbine capacity, by wind turbine class"
686,RR-WT-440b.3,Description of approach to optimize materials efficiency of wind turbine design
687,RT-AE-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
688,RT-AE-150a.1,"Amount of hazardous waste generated, percentage recycled"
689,RT-AE-150a.2,"Number and aggregate quantity of reportable spills, quantity recovered"
690,RT-AE-230a.1,"(1) Number of data breaches, (2) percentage involving confidential information"
691,RT-AE-230a.2,Description of approach to identifying and addressing data security risks in (1) company operations and (2) products
692,RT-AE-250a.1,"Number of recalls issued, total units recalled"
693,RT-AE-250a.2,"Number of counterfeit parts detected, percentage avoided"
694,RT-AE-250a.3,"Number of Airworthiness Directives received, total units affected"
695,RT-AE-250a.4,Total amount of monetary losses as a result of legal proceedings associated with product safety
696,RT-AE-410a.1,Revenue from alternative energy-related products
697,RT-AE-410a.2,Description of approach and discussion of strategy to address fuel economy and greenhouse gas (GHG) emissions of products
698,RT-AE-440a.1,Description of the management of risks associated with the use of critical materials
699,RT-AE-510a.1,"Total amount of monetary losses as a result of legal proceedings associated with incidents of corruption, bribery, and/or illicit international trade"
700,RT-AE-510a.2,Revenue from countries ranked in the “E” or “F” Band of Transparency International’s Government Defence Anti-Corruption Index
701,RT-AE-510a.3,Discussion of processes to manage business ethics risks throughout the value chain
702,RT-CH-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
703,RT-CH-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
704,RT-CH-120a.1,"Air emissions of the following pollutants: (1) NOX (excluding N2O), (2) SOX, (3) volatile organic compounds (VOCs), and (4) hazardous air pollutants (HAPs)"
705,RT-CH-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable, (4) total self-generated energy"
706,RT-CH-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
707,RT-CH-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
708,RT-CH-140a.3,Description of water management risks and discussion of strategies and practices to mitigate those risks
709,RT-CH-150a.1,"Amount of hazardous waste generated, percentage recycled"
710,RT-CH-210a.1,Discussion of engagement processes to manage risks and opportunities associated with community interests
711,RT-CH-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
712,RT-CH-320a.2,"Description of efforts to assess, monitor, and reduce exposure of employees and contract workers to long-term (chronic) health risks"
713,RT-CH-410a.1,Revenue from products designed for use-phase resource efficiency
714,RT-CH-410b.1,"(1) Percentage of products that contain Globally Harmonized System of Classification and Labeling of Chemicals (GHS) Category 1 and 2 Health and Environmental Hazardous Substances, (2) percentage of such products that have undergone a hazard assessment"
715,RT-CH-410b.2,Discussion of strategy to (1) manage chemicals of concern and (2) develop alternatives with reduced human and/or environmental impact
716,RT-CH-410c.1,Percentage of products by revenue that contain genetically modified organisms (GMOs)
717,RT-CH-530a.1,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
718,RT-CH-540a.1,"Process Safety Incidents Count (PSIC), Process Safety Total Incident Rate (PSTIR), and Process Safety Incident Severity Rate (PSISR)"
719,RT-CH-540a.2,Number of transport incidents
720,RT-CP-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations"
721,RT-CP-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
722,RT-CP-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, (3) volatile organic compounds (VOCs), and (4) particulate matter (PM)"
723,RT-CP-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable, (4) total self-generated energy"
724,RT-CP-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
725,RT-CP-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks
726,RT-CP-140a.3,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
727,RT-CP-150a.1,"Amount of hazardous waste generated, percentage recycled"
728,RT-CP-250a.1,"Number of recalls issued, total units recalled"
729,RT-CP-250a.2,Discussion of process to identify and manage emerging materials and chemicals of concern
730,RT-CP-410a.1,"Percentage of raw materials from: (1) recycled content, (2) renewable resources, and (3) renewable and recycled content"
731,RT-CP-410a.2,"Revenue from products that are reusable, recyclable, and/or compostable"
732,RT-CP-410a.3,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle
733,RT-CP-430a.1,"Total wood fiber procured, percentage from certified sources"
734,RT-CP-430a.2,"Total aluminum purchased, percentage from certified sources"
735,RT-EE-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
736,RT-EE-150a.1,"Amount of hazardous waste generated, percentage recycled"
737,RT-EE-150a.2,"Number and aggregate quantity of reportable spills, quantity recovered"
738,RT-EE-250a.1,"Number of recalls issued, total units recalled"
739,RT-EE-250a.2,Total amount of monetary losses as a result of legal proceedings associated with product safety
740,RT-EE-410a.1,Percentage of products by revenue that contain IEC 62474 declarable substances
741,RT-EE-410a.2,"Percentage of eligible products, by revenue, that meet ENERGY STAR® criteria"
742,RT-EE-410a.3,Revenue from renewable energy-related and energy efficiency-related products
743,RT-EE-440a.1,Description of the management of risks associated with the use of critical materials
744,RT-EE-510a.1,Description of policies and practices for prevention of: (1) corruption and bribery and (2) anti-competitive behavior
745,RT-EE-510a.2,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption
746,RT-EE-510a.3,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
747,RT-IG-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
748,RT-IG-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR)"
749,RT-IG-410a.1,Sales-weighted fleet fuel efficiency for medium- and heavy-duty vehicles
750,RT-IG-410a.2,Sales-weighted fuel efficiency for non-road equipment
751,RT-IG-410a.3,Sales-weighted fuel efficiency for stationary generators
752,RT-IG-410a.4,"Sales-weighted emissions of: (1) nitrogen oxides (NOx) and (2) particulate matter (PM) for: (a) marine diesel engines, (b) locomotive diesel engines, (c) on-road medium- and heavy-duty engines, and (d) other non-road diesel engines"
753,RT-IG-440a.1,Description of the management of risks associated with the use of critical materials
754,RT-IG-440b.1,Revenue from remanufactured products and remanufacturing services
755,SV-AD-220a.1,Discussion of policies and practices relating to behavioral advertising and consumer privacy
756,SV-AD-220a.2,Percentage of online advertising impressions that are targeted to custom audiences
757,SV-AD-220a.3,Total amount of monetary losses as a result of legal proceedings associated with consumer privacy
758,SV-AD-270a.1,"Total amount of monetary losses as a result of legal proceedings associated with false, deceptive, or unfair advertising"
759,SV-AD-270a.2,"Percentage of campaigns reviewed for adherence with the Advertising Self-Regulatory Council (ASRC) procedures, percentage of those in compliance"
760,SV-AD-270a.3,Percentage of campaigns that promote alcohol or tobacco products
761,SV-AD-330a.1,"Percentage of gender and racial/ethnic group representation for (1) management, (2) professionals, and (3) all other employees"
762,SV-CA-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
763,SV-CA-260a.1,Percentage of gaming facilities that implement the Responsible Gambling Index
764,SV-CA-260a.2,Percentage of online gaming operations that implement the National Council on Problem Gambling (NCPG) Internet Responsible Gambling Standards
765,SV-CA-320a.1,Percentage of gaming floor where smoking is allowed
766,SV-CA-320a.2,Percentage of gaming staff who work in areas where smoking is allowed
767,SV-CA-510a.1,Description of anti-money laundering policies and practices
768,SV-CA-510a.2,Total amount of monetary losses as a result of legal proceedings associated with money laundering
769,SV-ED-230a.1,Description of approach to identifying and addressing data security risks
770,SV-ED-230a.2,"Description of policies and practices relating to collection, usage, and retention of student information"
771,SV-ED-230a.3,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of students affected"
772,SV-ED-260a.1,Graduation rate
773,SV-ED-260a.2,On-time completion rate
774,SV-ED-260a.3,Job placement rate
775,SV-ED-260a.4,(1) Debt-to-annual earnings rate and (2) debt-to-discretionary income rate
776,SV-ED-260a.5,Program cohort default rate
777,SV-ED-270a.1,Description of policies to assure disclosure of key performance statistics to prospective students in advance of collecting any fees and discussion of outcomes
778,SV-ED-270a.2,"Total amount of monetary losses as a result of legal proceedings associated with advertising, marketing, and mandatory disclosures"
779,SV-ED-270a.3,(1) Instruction and student services expenses and (2) marketing and recruiting expenses
780,SV-ED-270a.4,"Revenue from: (1) Title IV funding, (2) GI Bill funding, and (3) private student loans"
781,SV-HL-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
782,SV-HL-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
783,SV-HL-160a.1,Number of lodging facilities located in or near areas of protected conservation status or endangered species habitat
784,SV-HL-160a.2,Description of environmental management policies and practices to preserve ecosystem services
785,SV-HL-310a.1,(1) Voluntary and (2) involuntary turnover rate for lodging facility employees
786,SV-HL-310a.2,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
787,SV-HL-310a.3,"(1) Average hourly wage and (2) percentage of lodging facility employees earning minimum wage, by region"
788,SV-HL-310a.4,Description of policies and programs to prevent worker harassment
789,SV-HL-450a.1,Number of lodging facilities located in 100-year flood zones
790,SV-LF-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
791,SV-LF-250a.1,(1) Fatality rate and (2) injury rate for customers
792,SV-LF-250a.2,"Percentage of facilities inspected for safety, percentage of facilities that failed inspection"
793,SV-LF-320a.1,(1) Total recordable incident rate (TRIR) and (2) near miss frequency rate (NMFR) for (a) permanent employees and (b) seasonal employees
794,SV-ME-260a.1,"Percentage of gender and racial/ethnic group representation for (1) management, (2) professionals, and (3) all other employees"
795,SV-ME-260a.2,Description of policies and procedures to ensuring pluralism in news media content
796,SV-ME-270a.1,Total amount of monetary losses as a result of legal proceedings associated with libel or slander
797,SV-ME-270a.2,Revenue from embedded advertising
798,SV-ME-270a.3,"Description of approach for ensuring journalistic integrity of news programming related to: (1) truthfulness, accuracy, objectivity, fairness, and accountability, (2) independence of content and/or transparency of potential bias, and (3) protection of privacy and limitation of harm"
799,SV-ME-520a.1,Description of approach to ensuring intellectual property (IP) protection
800,SV-PS-230a.1,Description of approach to identifying and addressing data security risks
801,SV-PS-230a.2,"Description of policies and practices relating to collection, usage, and retention of customer information"
802,SV-PS-230a.3,"(1) Number of data breaches, (2) percentage involving customers' confidential business information (CBI) or personally identifiable information (PII), (3) number of customers affected"
803,SV-PS-330a.1,Percentage of gender and racial/ethnic group representation for (1) executive management and (2) all other employees
804,SV-PS-330a.2,(1) Voluntary and (2) involuntary turnover rate for employees
805,SV-PS-330a.3,Employee engagement as a percentage
806,SV-PS-510a.1,Description of approach to ensuring professional integrity
807,SV-PS-510a.2,Total amount of monetary losses as a result of legal proceedings associated with professional integrity
808,TC-ES-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
809,TC-ES-150a.1,"Amount of hazardous waste from manufacturing, percentage recycled"
810,TC-ES-310a.1,(1) Number of work stoppages and (2) total days idle
811,TC-ES-320a.1,(1) Total recordable incident rate (TRIR) and (2) near miss frequency rate (NMFR) for (a) direct employees and (b) contract employees
812,TC-ES-320a.2,"Percentage of (1) entity’s facilities and (2) Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent, by (a) all facilities and (b) high-risk facilities"
813,TC-ES-320a.3,"(1) Non-conformance rate with the RBA Validated Audit Process (VAP) or equivalent and (2) associated corrective action rate for (a) priority non-conformances and (b) other non-conformances, broken down for (i) the entity’s facilities and (ii) the entity’s Tier 1 supplier facilities"
814,TC-ES-410a.1,"Weight of end-of-life products and e-waste recovered, percentage recycled"
815,TC-ES-440a.1,Description of the management of risks associated with the use of critical materials
816,TC-HW-230a.1,Description of approach to identifying and addressing data security risks in products
817,TC-HW-330a.1,"Percentage of gender and racial/ethnic group representation for (1) management, (2) technical staff, and (3) all other employees"
818,TC-HW-410a.1,Percentage of products by revenue that contain IEC 62474 declarable substances
819,TC-HW-410a.2,"Percentage of eligible products, by revenue, meeting the requirements for EPEAT registration or equivalent"
820,TC-HW-410a.3,"Percentage of eligible products, by revenue, meeting ENERGY STAR® criteria"
821,TC-HW-410a.4,"Weight of end-of-life products and e-waste recovered, percentage recycled"
822,TC-HW-430a.1,"Percentage of Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent, by (a) all facilities and (b) high-risk facilities"
823,TC-HW-430a.2,"Tier 1 suppliers’ (1) non-conformance rate with the RBA Validated Audit Process (VAP) or equivalent, and (2) associated corrective action rate for (a) priority non-conformances and (b) other non-conformances"
824,TC-HW-440a.1,Description of the management of risks associated with the use of critical materials
825,TC-IM-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
826,TC-IM-130a.2,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
827,TC-IM-130a.3,Discussion of the integration of environmental considerations into strategic planning for data center needs
828,TC-IM-220a.1,Description of policies and practices relating to behavioral advertising and user privacy
829,TC-IM-220a.2,Number of users whose information is used for secondary purposes
830,TC-IM-220a.3,Total amount of monetary losses as a result of legal proceedings associated with user privacy
831,TC-IM-220a.4,"(1) Number of law enforcement requests for user information, (2) number of users whose information was requested, (3) percentage resulting in disclosure"
832,TC-IM-220a.5,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring"
833,TC-IM-220a.6,"Number of government requests to remove content, percentage compliance with requests"
834,TC-IM-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of users affected"
835,TC-IM-230a.2,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards"
836,TC-IM-330a.1,Percentage of employees that are foreign nationals
837,TC-IM-330a.2,Employee engagement as a percentage
838,TC-IM-330a.3,"Percentage of gender and racial/ethnic group representation for (1) management, (2) technical staff, and (3) all other employees"
839,TC-IM-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
840,TC-SC-110a.1,(1) Gross global Scope 1 emissions and (2) amount of total emissions from perfluorinated compounds
841,TC-SC-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
842,TC-SC-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
843,TC-SC-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
844,TC-SC-150a.1,"Amount of hazardous waste from manufacturing, percentage recycled"
845,TC-SC-320a.1,"Description of efforts to assess, monitor, and reduce exposure of employees to human health hazards"
