,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure,variable,value
254614,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number,AEA002401015,293
254615,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number,AEA002401015,374
254616,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number,AEA002401015,686
254617,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number,AEA002401015,59
254618,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number,AEA002401015,455
254619,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number,AEA002401015,347
254620,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number,AEA002401015,439
254621,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number,AEA002401015,539
254622,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number,AEA002401015,2
254623,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number,AEA002401015,192
254624,IF-EU-150a.2p,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2p,Number,AEA002401015,818
254625,IF-EU-150a.2q,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2q,Number,AEA002401015,134
254626,IF-EU-240a.1a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1a,U.S. dollars ($),AEA002401015,975
254627,IF-EU-240a.1b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1b,Reporting currency,AEA002401015,896
254628,IF-EU-240a.1c,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1c,Reporting currency,AEA002401015,165
254629,IF-EU-240a.2a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2a,Reporting currency,AEA002401015,502
254630,IF-EU-240a.2b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2b,Reporting currency,AEA002401015,632
254631,IF-EU-240a.3a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3a,Number,AEA002401015,434
254632,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%),AEA002401015,0.36
254633,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,,AEA002401015,TEXT
254634,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate,AEA002401015,20
254635,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate,AEA002401015,609
254636,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate,AEA002401015,860
254637,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%),AEA002401015,0.66
254638,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%),AEA002401015,0.26
254639,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh),AEA002401015,0.5
254640,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,,AEA002401015,TEXT
254641,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh),AEA002401015,332
254642,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,,AEA002401015,TEXT
254643,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number,AEA002401015,559
254644,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number,AEA002401015,873
254645,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number,AEA002401015,215
254646,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number,AEA002401015,256
254647,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number,AEA002401015,562
254648,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,,AEA002401015,TEXT
254649,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number,AEA002401015,761
254650,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes,AEA002401015,552
254651,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number,AEA002401015,862
254652,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes,AEA002401015,826
254653,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,,AEA002401015,TEXT
257447,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number,IT0001207098,762
257448,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number,IT0001207098,289
257449,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number,IT0001207098,358
257450,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh),IT0001207098,890
257451,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh),IT0001207098,230
257452,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh),IT0001207098,620
257453,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh),IT0001207098,873
257454,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh),IT0001207098,889
257455,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km),IT0001207098,836
257456,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh),IT0001207098,871
257457,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%),IT0001207098,0.85
257458,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%),IT0001207098,0.73
257459,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh),IT0001207098,728
257460,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e,IT0001207098,659
257461,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%),IT0001207098,0.27
257462,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%),IT0001207098,0.47
257463,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e,IT0001207098,626
257464,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,,IT0001207098,TEXT
257465,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number,IT0001207098,688
257466,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%),IT0001207098,0.47
257467,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,,IT0001207098,TEXT
257468,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t),IT0001207098,481
257469,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t),IT0001207098,677
257470,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t),IT0001207098,910
257471,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t),IT0001207098,338
257472,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t),IT0001207098,439
257473,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%),IT0001207098,0.83
257474,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%),IT0001207098,0.1
257475,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%),IT0001207098,0.92
257476,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%),IT0001207098,0.54
257477,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%),IT0001207098,0.33
257478,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³),IT0001207098,781
257479,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³),IT0001207098,997
257480,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%),IT0001207098,0.17
257481,IF-EU-140a.1d,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1d,Percentage (%),IT0001207098,0.2
257482,IF-EU-140a.2a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.2,Quantitative,Number,IF-EU-140a.2a,Number,IT0001207098,480
257483,IF-EU-140a.3a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.3,Discussion and Analysis,,IF-EU-140a.3a,,IT0001207098,TEXT
257484,IF-EU-150a.1a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1a,Metric tons (t),IT0001207098,380
257485,IF-EU-150a.1b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1b,Percentage (%),IT0001207098,0.83
257486,IF-EU-150a.2a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2a,Number,IT0001207098,196
257487,IF-EU-150a.2b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2b,Number,IT0001207098,829
257488,IF-EU-150a.2c,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2c,Number,IT0001207098,346
257489,IF-EU-150a.2d,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2d,Number,IT0001207098,901
257490,IF-EU-150a.2e,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2e,Number,IT0001207098,412
257491,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number,IT0001207098,730
257492,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number,IT0001207098,196
257493,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number,IT0001207098,966
257494,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number,IT0001207098,754
257495,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number,IT0001207098,204
257496,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number,IT0001207098,136
257497,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number,IT0001207098,293
257498,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number,IT0001207098,775
257499,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number,IT0001207098,7
257500,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number,IT0001207098,169
257501,IF-EU-150a.2p,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2p,Number,IT0001207098,711
257502,IF-EU-150a.2q,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2q,Number,IT0001207098,694
257503,IF-EU-240a.1a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1a,U.S. dollars ($),IT0001207098,24
257504,IF-EU-240a.1b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1b,Reporting currency,IT0001207098,530
257505,IF-EU-240a.1c,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1c,Reporting currency,IT0001207098,157
257506,IF-EU-240a.2a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2a,Reporting currency,IT0001207098,634
257507,IF-EU-240a.2b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2b,Reporting currency,IT0001207098,957
257508,IF-EU-240a.3a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3a,Number,IT0001207098,134
257509,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%),IT0001207098,0.45
257510,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,,IT0001207098,TEXT
257511,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate,IT0001207098,477
257512,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate,IT0001207098,372
257513,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate,IT0001207098,119
257514,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%),IT0001207098,0.24
257515,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%),IT0001207098,0.58
257516,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh),IT0001207098,0.03
257517,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,,IT0001207098,TEXT
257518,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh),IT0001207098,736
257519,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,,IT0001207098,TEXT
257520,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number,IT0001207098,45
257521,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number,IT0001207098,618
257522,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number,IT0001207098,817
257523,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number,IT0001207098,433
257524,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number,IT0001207098,329
257525,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,,IT0001207098,TEXT
257526,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number,IT0001207098,440
257527,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes,IT0001207098,300
257528,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number,IT0001207098,10
257529,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes,IT0001207098,894
257530,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,,IT0001207098,TEXT
260324,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number,CLP0088A1052,620
260325,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number,CLP0088A1052,713
260326,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number,CLP0088A1052,614
260327,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh),CLP0088A1052,813
260328,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh),CLP0088A1052,387
260329,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh),CLP0088A1052,365
260330,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh),CLP0088A1052,536
260331,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh),CLP0088A1052,591
260332,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km),CLP0088A1052,21
260333,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh),CLP0088A1052,613
260334,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%),CLP0088A1052,0.67
260335,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%),CLP0088A1052,0.6
260336,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh),CLP0088A1052,230
260337,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e,CLP0088A1052,978
260338,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%),CLP0088A1052,0.45
260339,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%),CLP0088A1052,0.68
260340,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e,CLP0088A1052,444
260341,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,,CLP0088A1052,TEXT
260342,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number,CLP0088A1052,560
260343,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%),CLP0088A1052,0.95
260344,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,,CLP0088A1052,TEXT
260345,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t),CLP0088A1052,139
260346,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t),CLP0088A1052,297
260347,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t),CLP0088A1052,565
260348,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t),CLP0088A1052,551
260349,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t),CLP0088A1052,537
260350,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%),CLP0088A1052,0.29
260351,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%),CLP0088A1052,0.29
260352,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%),CLP0088A1052,0.53
260353,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%),CLP0088A1052,0.92
260354,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%),CLP0088A1052,0.68
260355,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³),CLP0088A1052,535
260356,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³),CLP0088A1052,322
260357,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%),CLP0088A1052,0.37
